main_page_link,isAssured,car_name,model,brand,location,seller_type,selling_location,transmission_type,km_driven,variant,selling_price
https://www.cardekho.com/used-car-details/used-Maruti-Wagon-R-Vxi-Bs-Iv-cars-Agra_0f36728c-4021-41e3-b623-7da96b9ee4ab.htm,False,Maruti Wagon R VXI BS IV,Maruti,VXI BS IV,Agra,Dealer,"Khasra No. 192, Bainpur Road, Sikandra, Agra- 282007|",Manual,"10,492",Petrol,415000.0
https://www.cardekho.com/used-car-details/used-Honda-Amaze-S-I-vtec-cars-Agra_b6b9501d-7586-45ae-bdc4-1a16809c618a.htm,False,Honda Amaze S i-VTEC,Honda,S i-VTEC,Agra,Dealer,"Khasra No. 192, Bainpur Road, Sikandra, Agra- 282007|",Manual,"23,865",Petrol,520000.0
https://www.cardekho.com/used-car-details/used-Maruti-Wagon-R-Stingray-Amt-Vxi-cars-Agra_6adabbe5-8bb8-4f57-a47f-0610d022e97c.htm,False,Maruti Wagon R Stingray AMT VXI,Maruti,AMT VXI,Agra,Dealer,"Khasra No. 192, Bainpur Road, Sikandra, Agra- 282007|",Automatic,"96,947",Petrol,340000.0
https://www.cardekho.com/used-car-details/used-Maruti-Alto-800-Cng-Lxi-cars-Agra_bb274a20-fd73-40b5-aac9-a8f9ffc80c86.htm,False,Maruti Alto 800 CNG LXI,Maruti,CNG LXI,Agra,Dealer,"Khasra No. 192, Bainpur Road, Sikandra, Agra- 282007|",Manual,"30,298",CNG,360000.0
https://www.cardekho.com/used-car-details/used-Volkswagen-Polo-1.0-Tsi-Highline-Plus-cars-Agra_0eda9f46-402e-45c3-abc7-866aca794017.htm,False,Volkswagen Polo 1.0 TSI Highline Plus,Volkswagen,1.0 TSI Highline Plus,Agra,Dealer,"Khasra No. 192, Bainpur Road, Sikandra, Agra- 282007|",Manual,"51,117",Petrol,820000.0
https://www.cardekho.com/used-car-details/used-Hyundai-Grand-I10-Magna-cars-Agra_3ffac95a-2dac-425c-9575-5d4127e6d049.htm,False,Hyundai Grand i10 Magna,Hyundai,Magna,Agra,Dealer,"Khasra No. 192, Bainpur Road, Sikandra, Agra- 282007|",Manual,"73,174",Petrol,370000.0
https://www.cardekho.com/used-car-details/used-Maruti-Swift-Dzire-Zxi-cars-Agra_44d64e8e-c4ce-4db7-a59b-741bb346ae02.htm,False,Maruti Swift Dzire ZXI,Maruti,ZXI,Agra,Dealer,"Khasra No. 192, Bainpur Road, Sikandra, Agra- 282007|",Manual,"62,560",Petrol,490000.0
https://www.cardekho.com/used-car-details/used-Tata-Tiago-1.2-Revotron-Xt-cars-Agra_75af50c0-b7b6-4e58-9608-9fb64e02996d.htm,False,Tata Tiago 1.2 Revotron XT,Tata,1.2 Revotron XT,Agra,Dealer,"Khasra No. 192, Bainpur Road, Sikandra, Agra- 282007|",Manual,"54,476",Petrol,390000.0
https://www.cardekho.com/used-car-details/used-Hyundai-Xcent-1.2-Vtvt-Sx-cars-Agra_55a45b0d-d7ba-4885-8a92-2349546de0f0.htm,False,Hyundai Xcent 1.2 VTVT SX,Hyundai,1.2 VTVT SX,Agra,Dealer,"Khasra No. 192, Bainpur Road, Sikandra, Agra- 282007|",Manual,"35,010",Petrol,495000.0
https://www.cardekho.com/used-car-details/used-Tata-Tigor-Xz-Plus-cars-Agra_a2023685-d3cc-4545-a8b4-b060348fc29e.htm,False,Tata Tigor XZ Plus,Tata,XZ Plus,Agra,Individual,,Manual,"15,000",Petrol,700000.0
https://www.cardekho.com/used-car-details/used-Maruti-Swift-Dzire-Vdi-cars-Agra_5a1399f1-af7b-468d-a589-93a8af49ffd6.htm,False,Maruti Swift Dzire VDi,Maruti,VDi,Agra,Individual,,Manual,"2,80,000",Diesel,280000.0
https://www.cardekho.com/used-car-details/used-Mahindra-Xuv500-W8-Awd-cars-Agra_1f504f9f-c7f5-4774-bd19-2389f8d1d481.htm,False,Mahindra XUV500 W8 AWD,Mahindra,W8 AWD,Agra,Individual,,Manual,"80,000",Diesel,800000.0
https://www.cardekho.com/used-car-details/used-Mahindra-Scorpio-Vls-2.2-Mhawk-cars-Agra_373cd589-44aa-4108-bd76-785b4d14bf16.htm,False,Mahindra Scorpio VLS 2.2 mHawk,Mahindra,VLS 2.2 mHawk,Agra,Individual,,Manual,"1,20,000",Diesel,300000.0
https://www.cardekho.com/used-car-details/used-Renault-Kwid-1.0-cars-Agra_58f40813-8177-4ec1-8f03-8323b1db3602.htm,False,Renault KWID 1.0,Renault,1.0,Agra,Individual,,Manual,"40,000",Petrol,330000.0
